TechCat,Technologies,Abbreviation,Relative_to,I4_Percent_Low_17,I4_Percent_High_17,I4_Percent_Avg_17,V6_Percent_Low_17,V6_Percent_High_17,V6_Percent_Avg_17,V8_Percent_Low_17,V8_Percent_High_17,V8_Percent_Avg_17,I4_Percent_Low_20_25,I4_Percent_High_20_25,I4_Percent_Avg_20_25,V6_Percent_Low_20_25,V6_Percent_High_20_25,V6_Percent_Avg_20_25,V8_Percent_Low_20_25,V8_Percent_High_20_25,V8_Percent_Avg_20_25,I4_Cost_Low_17,I4_Cost_High_17,I4_Cost_Avg_17,V6_Cost_Low_17,V6_Cost_High_17,V6_Cost_Avg_17,V8_Cost_Low_17,V8_Cost_High_17,V8_Cost_Avg_17,I4_Cost_Low_20,I4_Cost_High_20,I4_Cost_Avg_20,V6_Cost_Low_20,V6_Cost_High_20,V6_Cost_Avg_20,V8_Cost_Low_20,V8_Cost_High_20,V8_Cost_Avg_20,I4_Cost_Low_25,I4_Cost_High_25,I4_Cost_Avg_25,V6_Cost_Low_25,V6_Cost_High_25,V6_Cost_Avg_25,V8_Cost_Low_25,V8_Cost_High_25,V8_Cost_Avg_25
SI,"Cooled EGR Level 1 - 24 bar BMEP, 50% DS",CEGR1,previous ,3,3.5,3.25,3.1,3.5,3.3,3.1,3.6,3.35,3,3.5,3.25,3.1,3.5,3.3,3.1,3.6,3.35,212,212,212,212,212,212,212,212,212,199,199,199,199,199,199,199,199,199,180,180,180,180,180,180,180,180,180
SI,"Cooled EGR Level 2 - 27 bar BMEP, 56% DS ",CEGR2,previous ,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.2,364,364,364,364,364,364,-545,-524,-534.5,343,343,343,343,343,343,-522,-514,-518,310,310,310,310,310,310,-469,-453,-461
AltFuels,CNG-Gasoline Bi-Fuel Vehicle (default UF = 0.5),BCNG,baseline,0,5,2.5,0,5,2.5,0,5,2.5,0,5,2.5,0,5,2.5,0,5,2.5,6000,6000,6000,6900,6900,6900,7800,7800,7800,6000,6000,6000,6900,6900,6900,7800,7800,7800,6000,6000,6000,6900,6900,6900,7800,7800,7800
AltFuels,"Flexible Fuel Vehicle (UF dependent, UF = 0.5 thru 2019) ",FFV,baseline,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,75,75,75,100,100,100,125,125,125,75,75,75,100,100,100,125,125,125,75,75,75,100,100,100,125,125,125
AltFuels,"Ethanol Boosted Direct Injection (CR = 14:1, 43% downsizing) (UF~0.05) ",EBDI,baseline,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,740,740,740,870,870,870,1000,1000,1000,740,740,740,870,870,870,1000,1000,1000,740,740,740,870,870,870,1000,1000,1000
Transmission,6-speed AT with Improved Internals - Lepelletier (Rel to 4 sp AT) ,NUATO-L,IATC,2,2.5,2.25,2,2.5,2.25,2,2.5,2.25,2,2.5,2.25,2,2.5,2.25,2,2.5,2.25,37,37,37,37,37,37,37,37,37,34,34,34,34,34,34,34,34,34,31,31,31,31,31,31,31,31,31
Transmission,8-speed AT (Rel to 6 sp AT - Lepelletier),8AT,previous ,1.5,2,1.75,1.5,2,1.75,1.5,2,1.75,1.5,2,1.75,1.5,2,1.75,1.5,2,1.75,93,188,140.5,93,188,140.5,93,188,140.5,86,160,123,86,160,123,86,160,123,89,157,123,89,157,123,89,157,123
Transmission,High Efficiency Gearbox Level 1 (Auto) (HETRANS) ,HEG1,previous ,2.3,2.7,2.5,2.3,2.7,2.5,2.3,2.7,2.5,2.3,2.7,2.5,2.3,2.7,2.5,2.3,2.7,2.5,120,120,120,120,120,120,120,120,120,113,113,113,113,113,113,113,113,113,102,102,102,102,102,102,102,102,102
Transmission,"High Efficiency Gearbox Level 2 (Auto, 2017 and Beyond) ",HEG2,previous ,2.6,2.7,2.65,2.6,2.7,2.65,2.6,2.7,2.65,2.6,2.7,2.65,2.6,2.7,2.65,2.6,2.7,2.65,194,194,194,194,194,194,194,194,194,183,183,183,183,183,183,183,183,183,165,165,165,165,165,165,165,165,165
Transmission,Shift Optimizer (ASL-2),SHFTOPT,previous ,0.5,1,0.75,0.5,1,0.75,0.5,1,0.75,0.5,1,0.75,0.5,1,0.75,0.5,1,0.75,26,26,26,26,26,26,26,26,26,24,24,24,24,24,24,24,24,24,22,22,22,22,22,22,22,22,22
Transmission,Secondary Axle Disconnect ,SAX,baseline,1.4,3,2.2,1.4,3,2.2,1.4,3,2.2,1.4,3,2.2,1.4,3,2.2,1.4,3,2.2,100,100,100,100,100,100,100,100,100,94,94,94,94,94,94,94,94,94,86,86,86,86,86,86,86,86,86
Accessories,Electric Power Steering,EPS,baseline,1.3,1.3,1.3,1.1,1.1,1.1,0.8,0.8,0.8,1.3,1.3,1.3,1.1,1.1,1.1,0.8,0.8,0.8,87,87,87,87,87,87,87,87,87,82,82,82,82,82,82,82,82,82,74,74,74,74,74,74,74,74,74
Accessories,"Improved Accessories - Level 1 (70% Eff Alt, Elec. Water Pump and Fan) ",IACC1,baseline,1.2,1.2,1.2,1,1,1,1.6,1.6,1.6,1.2,1.2,1.2,1,1,1,1.6,1.6,1.6,71,71,71,71,71,71,71,71,71,67,67,67,67,67,67,67,67,67,60,60,60,60,60,60,60,60,60
